"biceps","bone","caliper1","caliper2","caliper3","calories","chest","comment","dateTime","fat","hip","lbm","muscle","neck","thigh","visceralFat","waist","water","weight"
0.0,3.4181154,0.0,0.0,0.0,0.0,0.0,"","2022-10-07 05:21",37.303562,0.0,0.0,59.498947,0.0,0.0,17.314102,0.0,44.765255,106.9
0.0,3.4446476,0.0,0.0,0.0,0.0,0.0,"","2022-10-06 06:57",37.291656,0.0,0.0,59.509964,0.0,0.0,17.415985,0.0,44.773754,107.7
0.0,3.4391806,0.0,0.0,0.0,0.0,0.0,"","2022-10-06 04:45",37.506123,0.0,0.0,59.306496,0.0,0.0,17.441456,0.0,44.620625,107.9
0.0,3.4298754,0.0,0.0,0.0,0.0,0.0,"","2022-10-05 04:05",37.383156,0.0,0.0,59.42329,0.0,0.0,17.377779,0.0,44.708427,107.4
0.0,3.4285343,0.0,0.0,0.0,0.0,0.0,"","2022-10-04 06:50",37.173378,0.0,0.0,59.622383,0.0,0.0,17.326838,0.0,44.858204,107.0
0.0,3.4267807,0.0,0.0,0.0,0.0,0.0,"","2022-10-04 05:15",37.205147,0.0,0.0,59.59225,0.0,0.0,17.326838,0.0,44.835526,107.0
0.0,3.4258733,0.0,0.0,0.0,0.0,0.0,"","2022-10-04 04:34",37.338715,0.0,0.0,59.46551,0.0,0.0,17.352308,0.0,44.740158,107.2
0.0,3.4277716,0.0,0.0,0.0,0.0,0.0,"","2022-10-03 07:50",37.42114,0.0,0.0,59.38727,0.0,0.0,17.377779,0.0,44.681305,107.4
0.0,3.4175582,0.0,0.0,0.0,0.0,0.0,"","2022-10-02 04:49",37.43073,0.0,0.0,59.378273,0.0,0.0,17.339573,0.0,44.674458,107.1
0.0,3.4116986,0.0,0.0,0.0,0.0,0.0,"","2022-10-01 06:21",37.478424,0.0,0.0,59.333073,0.0,0.0,17.326838,0.0,44.640404,107.8
0.0,3.4116986,0.0,0.0,0.0,0.0,0.0,"","2022-09-30 05:29",37.478424,0.0,0.0,59.333073,0.0,0.0,17.326838,0.0,44.640404,107.0
0.0,3.429071,0.0,0.0,0.0,0.0,0.0,"","2022-09-29 06:17",37.45591,0.0,0.0,59.354256,0.0,0.0,17.390514,0.0,44.65648,107.5
0.0,3.4206529,0.0,0.0,0.0,0.0,0.0,"","2022-09-29 04:49",37.607735,0.0,0.0,59.210262,0.0,0.0,17.390514,0.0,44.548073,107.5
0.0,3.4406872,0.0,0.0,0.0,0.0,0.0,"","2022-09-28 07:04",37.42106,0.0,0.0,59.387207,0.0,0.0,17.42872,0.0,44.681366,107.8
0.0,3.4272137,0.0,0.0,0.0,0.0,0.0,"","2022-09-28 05:16",37.547504,0.0,0.0,59.26735,0.0,0.0,17.40325,0.0,44.59108,107.6
0.0,3.4263062,0.0,0.0,0.0,0.0,0.0,"","2022-09-28 04:43",37.679695,0.0,0.0,59.14191,0.0,0.0,17.42872,0.0,44.496696,107.8
0.0,3.4221592,0.0,0.0,0.0,0.0,0.0,"","2022-09-27 04:52",37.522446,0.0,0.0,59.291187,0.0,0.0,17.377779,0.0,44.60897,107.4
0.0,3.4225512,0.0,0.0,0.0,0.0,0.0,"","2022-09-27 04:30",37.689423,0.0,0.0,59.13272,0.0,0.0,17.415985,0.0,44.489754,107.7
0.0,3.429814,0.0,0.0,0.0,0.0,0.0,"","2022-09-26 07:18",37.61661,0.0,0.0,59.201748,0.0,0.0,17.42872,0.0,44.54174,107.8
0.0,3.4367669,0.0,0.0,0.0,0.0,0.0,"","2022-09-25 07:24",37.72265,0.0,0.0,59.10104,0.0,0.0,17.479662,0.0,44.46603,108.2
0.0,3.4400678,0.0,0.0,0.0,0.0,0.0,"","2022-09-25 07:16",37.778515,0.0,0.0,59.047985,0.0,0.0,17.505133,0.0,44.42614,108.4
0.0,3.4533758,0.0,0.0,0.0,0.0,0.0,"","2022-09-24 06:21",37.941246,0.0,0.0,58.89342,0.0,0.0,17.59428,0.0,44.309948,109.1
0.0,3.4515808,0.0,0.0,0.0,0.0,0.0,"","2022-09-23 06:45",37.802116,0.0,0.0,59.025467,0.0,0.0,17.556074,0.0,44.409286,108.8
0.0,3.445019,0.0,0.0,0.0,0.0,0.0,"","2022-09-23 05:48",37.861927,0.0,0.0,58.96878,0.0,0.0,17.543339,0.0,44.366585,108.7
0.0,3.45808,0.0,0.0,0.0,0.0,0.0,"","2022-09-22 05:35",37.971367,0.0,0.0,58.8648,0.0,0.0,17.619751,0.0,44.288445,109.3
0.0,3.4502192,0.0,0.0,0.0,0.0,0.0,"","2022-09-22 04:42",37.99734,0.0,0.0,58.840218,0.0,0.0,17.59428,0.0,44.269897,109.1
0.0,3.4700463,0.0,0.0,0.0,0.0,0.0,"","2022-09-21 05:18",37.929474,0.0,0.0,58.904427,0.0,0.0,17.657957,0.0,44.318356,109.6
